Wine Name,Producer,Appellation,Region,Country,Vintage,Grape Varieties,Style,Price USD,Unit,Description,Importer,Alcohol,Score
Sancerre Rouge La Croix du Roy,Henri Bourgeois,Sancerre,Loire Valley,France,2021,Pinot Noir,red,38.00,bottle,"Elegant and mineral, red cherry and violet, silky tannins. Excellent with salmon or duck.",Winebow,12.5%,91 WS
Pouilly-Fumé Etienne Henri,Henri Bourgeois,Pouilly-Fumé,Loire Valley,France,2022,Sauvignon Blanc,white,29.00,bottle,"Crisp citrus and white peach, flinty mineral finish. Ideal BTG for seafood-forward menus.",Winebow,13%,90 WA
Sancerre Blanc Les Baronnes,Henri Bourgeois,Sancerre,Loire Valley,France,2022,Sauvignon Blanc,white,36.00,bottle,"Classic Sancerre: grapefruit zest, gooseberry, and that distinctive chalky minerality.",Winebow,13%,92 WS
Barolo Serralunga d'Alba,Fontanafredda,Barolo DOCG,Piedmont,Italy,2018,Nebbiolo,red,68.00,bottle,"Full-bodied with firm tannins, tar and roses, dried cherry. Cellar 3-5 years or decant.",Southern Glazer's,14%,93 WE
Brunello di Montalcino Pieve Santa Restituta,Gaja,Brunello di Montalcino DOCG,Tuscany,Italy,2017,Sangiovese Grosso,red,185.00,bottle,"Concentrated and complex, iron-inflected dark fruit, long age-worthy structure.",Southern Glazer's,14.5%,97 WA
Bolgheri Sassicaia,Tenuta San Guido,Bolgheri DOC Sassicaia,Tuscany,Italy,2019,Cabernet Sauvignon,red,245.00,bottle,"Italy's most famous Cabernet. Cassis, graphite, and violet. Outstanding 2019 vintage.",Southern Glazer's,14%,98 WS
Vermentino di Sardegna Costamolino,Argiolas,Vermentino di Sardegna DOC,Sardinia,Italy,2023,Vermentino,white,18.00,bottle,"Bright and aromatic, white flowers and citrus peel. Perfect pool-bar pour.",Southern Glazer's,13%,88 WS
Etna Rosso Piano dei Daini,Terre Nere,Etna DOC,Sicily,Italy,2021,Nerello Mascalese,red,48.00,bottle,"Volcanic finesse, strawberry and wild herbs, translucent ruby. Burgundy-lovers' pick.",Chambers & Chambers,13%,94 WA
Champagne Brut Rosé,Billecart-Salmon,Champagne AOC,Champagne,France,NV,"Pinot Noir, Chardonnay, Pinot Meunier",sparkling,82.00,bottle,"The quintessential rosé Champagne. Strawberry mousse, brioche, impeccable balance.",Moët Hennessy,12%,95 WS
Champagne Blanc de Blancs Grand Cru,Pierre Peters,Champagne AOC,Champagne,France,NV,Chardonnay,sparkling,74.00,bottle,"Pure Chardonnay from Grand Cru vineyards. Chalk, lemon curd, green apple. Exceptional BTG.",Skurnik Wines,12%,94 WA
Champagne Brut Réserve,Henriot,Champagne AOC,Champagne,France,NV,"Chardonnay, Pinot Noir",sparkling,55.00,bottle,"Versatile house Champagne, bright and biscuity. Reliable by-the-glass anchor.",Skurnik Wines,12%,91 WS
Chablis Premier Cru Montée de Tonnerre,Domaine Raveneau,Chablis 1er Cru,Burgundy,France,2020,Chardonnay,white,145.00,bottle,"Benchmark Chablis. Oyster shell, flint, white flowers. One of the world's finest whites.",Martine's Wines,13%,97 WA
Puligny-Montrachet Village,Etienne Sauzet,Puligny-Montrachet AOC,Burgundy,France,2021,Chardonnay,white,95.00,bottle,"Village-level brilliance: hazelnut, white peach, creamy texture with laser-like acid.",Skurnik Wines,13%,93 WS
Mâcon-Verzé,Domaine Leflaive,Mâcon-Verzé AOC,Burgundy,France,2022,Chardonnay,white,38.00,bottle,"Biodynamic Mâcon from Leflaive. Exceptional entry point to the domaine. Lemon and almond.",Skurnik Wines,13%,92 WA
Gevrey-Chambertin Vieilles Vignes,Rossignol-Trapet,Gevrey-Chambertin AOC,Burgundy,France,2020,Pinot Noir,red,78.00,bottle,"Old-vine Gevrey, earthy and structured. Plum, violet, forest floor. Decant 30 min.",Vintus,13%,92 WS
Napa Valley Cabernet Sauvignon Reserve,Stag's Leap Wine Cellars,Napa Valley AVA,Napa Valley,USA,2019,Cabernet Sauvignon,red,120.00,bottle,"Silky tannins, cassis and eucalyptus, polished oak. Classic Stag's Leap style.",Southern Glazer's,14.5%,95 WA
Sonoma Coast Chardonnay,Kosta Browne,Sonoma Coast AVA,Sonoma,USA,2021,Chardonnay,white,75.00,bottle,"Restrained and precise, Burgundian in spirit. Citrus oil, toasted brioche, saline finish.",Kobrand,14%,94 WA
